,Player
0,Aaron Cresswell
1,Aaron Ramsdale
2,Aaron Wan-Bissaka
3,Aaron Hickey
4,Aaron Ramsey
5,Abdoulaye Doucouré
6,Adam Lallana
7,Adam Smith
8,Adam Webster
9,Adam Wharton
10,Adama Traoré
11,Albert Sambi Lokonga
12,Alejandro Garnacho
13,Alex Iwobi
14,Alex Iwobi
15,Alex Scott
16,Alexander Isak
17,Alexis Mac Allister
18,Alfie Doughty
19,Alfie Gilchrist
20,Alisson
21,Alphonse Areola
22,Amad Diallo
23,Amadou Onana
24,Amari'i Bell
25,Ameen Al-Dakhil
26,Anass Zaroury
27,Andre Brooks
28,Andreas Pereira
29,Andrew Robertson
30,Andrew Omobamidele
31,Andros Townsend
32,André Gomes
33,André Onana
34,Anel Ahmedhodžić
35,Angelo Ogbonna
36,Anis Ben Slimane
37,Ansu Fati
38,Anthony Martial
39,Anthony Gordon
40,Anthony Elanga
41,Antoine Semenyo
42,Antonee Robinson
43,Antony
44,Arijanet Muric
45,Armando Broja
46,Arnaut Danjuma
47,Ashley Young
48,Auston Trusty
49,Axel Disasi
50,Bart Verbruggen
51,Ben Mee
52,Ben Davies
53,Ben Osborn
54,Ben Chilwell
55,Ben Godfrey
56,Ben White
57,Ben Brereton
58,Ben Johnson
59,Benoît Badiashile
60,Benson Manuel
61,Bernardo Silva
62,Bernd Leno
63,Beto
64,Billy Gilmour
65,Bobby Reid
66,Boubacar Kamara
67,Boubacar Traoré
68,Brennan Johnson
69,Brennan Johnson
70,Bruno Fernandes
71,Bruno Guimarães
72,Bryan Mbeumo
73,Bryan Gil
74,Bukayo Saka
75,Bénie Traoré
76,Callum Wilson
77,Callum Hudson-Odoi
78,Calum Chambers
79,Calvin Bassey
80,Cameron Archer
81,Caoimhín Kelleher
82,Carlos Vinícius
83,Carlos Baleba
84,Carlton Morris
85,Carney Chukwuemeka
86,Casemiro
87,Cauley Woodrow
88,Charlie Taylor
89,Cheick Doucouré
90,Cheikhou Kouyaté
91,Chiedozie Ogbene
92,Chris Basham
93,Chris Wood
94,Chris Mepham
95,Chris Richards
96,Christian Eriksen
97,Christian Nørgaard
98,Christopher Nkunku
99,Clément Lenglet
100,Cody Gakpo
101,Cole Palmer
102,Connor Roberts
103,Conor Gallagher
104,Conor Bradley
105,Craig Dawson
106,Cristian Romero
107,Curtis Jones
108,Daiki Hashioka
109,Dan Burn
110,Dango Ouattara
111,Daniel Bentley
112,Daniel Muñoz
113,Danilo
114,Danny Welbeck
115,Danny Ings
116,Dara O'Shea
117,Darwin Núñez
118,David Raya
119,David Brooks
120,David Datro Fofana
121,David Ozoh
122,Dean Henderson
123,Declan Rice
124,Dejan Kulusevski
125,Destiny Udogie
126,Diego Carlos
127,Diogo Jota
128,Diogo Dalot
129,Divock Origi
130,Dominic Calvert-Lewin
131,Dominic Solanke
132,Dominik Szoboszlai
133,Douglas Luiz
134,Dwight McNeil
135,Eberechi Eze
136,Eddie Nketiah
137,Ederson
138,Edson Álvarez
139,Elijah Adebayo
140,Elliot Anderson
141,Emerson Palmieri
142,Emerson
143,Emil Krafth
144,Emile Smith Rowe
145,Emiliano Martínez
146,Enes Ünal
147,Enzo Fernández
148,Eric Dier
149,Erling Haaland
150,Ethan Pinnock
151,Evan Ferguson
152,Ezri Konsa
153,Fabian Schär
154,Fabio Vieira
155,Facundo Pellistri
156,Facundo Buonanotte
157,Felipe
158,Frank Onyeka
159,Fred Onyedinma
160,Fábio Silva
161,Gabriel Jesus
162,Gabriel Magalhães
163,Gabriel Osho
164,Gabriel Martinelli
165,George Baldock
166,Gio Reyna
167,Giovani Lo Celso
168,Gonzalo Montiel
169,Guglielmo Vicario
170,Gustavo Hamer
171,Hannes Delcroix
172,Hannibal Mejbri
173,Harrison Reed
174,Harry Maguire
175,Harry Toffolo
176,Harry Wilson
177,Harvey Barnes
178,Harvey Elliott
179,Hjalmar Ekdal
180,Hugo Bueno
181,Hwang Hee-chan
182,Ian Maatsen
183,Ibrahim Sangaré
184,Ibrahima Konaté
185,Idrissa Gana Gueye
186,Igor
187,Illia Zabarnyi
188,Ionuț Radu
189,Issa Diop
190,Issa Kaboré
191,Ivan Perišić
192,Ivan Toney
193,Ivo Grbić
194,Jack Robinson
195,Jack Grealish
196,Jack Harrison
197,Jack Hinshelwood
198,Jacob Murphy
199,Jacob Brown
200,Jacob Bruun Larsen
201,Jacob Ramsey
202,Jaidon Anthony
203,Jakub Moder
204,Jakub Kiwior
205,Jamaal Lascelles
206,James Milner
207,James Tarkowski
208,James Ward-Prowse
209,James Maddison
210,James Garner
211,James Trafford
212,James Mcatee
213,Jan Paul van Hecke
214,Jarell Quansah
215,Jarrad Branthwaite
216,Jarrod Bowen
217,Jason Steele
218,Jay Rodriguez
219,Jayden Bogle
220,Jaïro Riedewald
221,Jean-Philippe Mateta
222,Jean-Ricner Bellegarde
223,Jefferson Lerma
224,Jeffrey Schlupp
225,Jeremy Doku
226,Jesurun Rak Sakyi
227,Jhon Durán
228,Joachim Andersen
229,Joe Rothwell
230,Joe Gomez
231,Joe Worrall
232,Joe Willock
233,Joel Ward
234,Joelinton
235,John Egan
236,John Stones
237,John McGinn
238,Jonny Evans
239,Jordan Ayew
240,Jordan Pickford
241,Jordan Clark
242,Jordan Beyer
243,Jorginho
244,Josh Cullen
245,Josh Brownhill
246,José Sá
247,João Palhinha
248,João Gomes
249,João Pedro
250,Joël Veltman
251,Joël Matip
252,Joško Gvardiol
253,Julio Enciso
254,Julián Álvarez
255,Justin Kluivert
256,Jóhann Berg Guðmundsson
257,Kai Havertz
258,Kalvin Phillips
259,Kaoru Mitoma
260,Keane Lewis-Potter
261,Kenny Tete
262,Kevin De Bruyne
263,Kevin Schade
264,Kieffer Moore
265,Kieran Trippier
266,Kobbie Mainoo
267,Konstantinos Mavropanos
268,Kostas Tsimikas
269,Kristoffer Ajer
270,Kurt Zouma
271,Kyle Walker
272,Leander Dendoncker
273,Leandro Trossard
274,Leon Bailey
275,Leon Chiwome
276,Lesley Ugochukwu
277,Levi Colwill
278,Lewis Dunk
279,Lewis Cook
280,Lewis Dobbin
281,Lewis Hall
282,Lewis Miley
283,Lisandro Martínez
284,Lloyd Kelly
285,Lorenz Assignon
286,Luca Koleosho
287,Lucas Digne
288,Lucas Paquetá
289,Luis Díaz
290,Luis Sinisterra
291,Luke Berry
292,Luke Shaw
293,Luke Thomas
294,Lyle Foster
295,Mads Juel Andersen
296,Mads Roerslev
297,Mahmoud Dahoud
298,Malo Gusto
299,Manor Solomon
300,Manuel Akanji
301,Marc Cucurella
302,Marc Guéhi
303,Marcos Senesi
304,Marcus Rashford
305,Marcus Tavernier
306,Mario Lemina
307,Mark Flekken
308,Mark Travers
309,Martin Dúbravka
310,Martin Ødegaard
311,Marvelous Nakamba
312,Mason Holgate
313,Mason Mount
314,Mateo Kovačić
315,Matheus Nunes
316,Matheus Nunes
317,Matheus Cunha
318,Matheus França
319,Mathias Jørgensen
320,Mathias Jensen
321,Matt Ritchie
322,Matt Doherty
323,Matt Turner
324,Matty Cash
325,Matz Sels
326,Max Lowe
327,Max Kilman
328,Max Aarons
329,Maxime Estève
330,Maxwel Cornet
331,Michael Keane
332,Michael Olise
333,Michail Antonio
334,Micky van de Ven
335,Miguel Almirón
336,Mike Trésor
337,Mikkel Damsgaard
338,Milos Kerkez
339,Mohamed Salah
340,Mohammed Kudus
341,Moisés Caicedo
342,Morgan Gibbs-White
343,Morgan Rogers
344,Moussa Niakhate
345,Moussa Diaby
346,Murillo
347,Mykhailo Mudryk
348,Naouirou Ahamada
349,Nathan Redmond
350,Nathan Aké
351,Nathan Collins
352,Nathan Patterson
353,Nathan Fraser
354,Nathaniel Clyne
355,Nayef Aguerd
356,Neal Maupay
357,Neal Maupay
358,Neco Williams
359,Neto
360,Nick Pope
361,Nicolas Jackson
362,Nicolás Domínguez
363,Nicolò Zaniolo
364,Noni Madueke
365,Nuno Tavares
366,Nélson Semedo
367,Odeluga Offiah
368,Odisseas Vlachodimos
369,Odsonne Édouard
370,Ola Aina
371,Oleksandr Zinchenko
372,Oliver Norwood
373,Oliver McBurnie
374,Oliver Skipp
375,Oliver Arblaster
376,Ollie Watkins
377,Orel Mangala
378,Oscar Bobb
379,Pablo Sarabia
380,Pablo Fornals
381,Pape Matar Sarr
382,Pascal Groß
383,Pau Torres
384,Pedro Neto
385,Pedro Porro
386,Pelly Ruddock Mpanzu
387,Pervis Estupiñán
388,Phil Foden
389,Philip Billing
390,Pierre Højbjerg
391,Radu Drăgușin
392,Raheem Sterling
393,Raphaël Varane
394,Rasmus Højlund
395,Rayan Aït-Nouri
396,Raúl Jiménez
397,Reece Burke
398,Reece James
399,Reiss Nelson
400,Rhian Brewster
401,Rhys Norrington-Davies
402,Richarlison
403,Rico Henry
404,Rico Lewis
405,Robert Sánchez
406,Robin Olsen
407,Rodri
408,Rodrigo Bentancur
409,Rodrigo Muniz
410,Ross Barkley
411,Ryan Christie
412,Ryan Yates
413,Ryan John Giles
414,Ryan Gravenberch
415,Rúben Dias
416,Sam Johnstone
417,Saman Ghoddos
418,Sander Berge
419,Sandro Tonali
420,Santiago Bueno
421,Sasa Kalajdzic
422,Saïd Benrahma
423,Saša Lukić
424,Scott McTominay
425,Scott McKenna
426,Sean Longstaff
427,Serge Aurier
428,Sergio Reguilón
429,Sergio Reguilón
430,Shandon Baptiste
431,Simon Adingra
432,Sofyan Amrabat
433,Solly March
434,Son Heung-min
435,Stefan Ortega
436,Sven Botman
437,Séamus Coleman
438,Tahith Chong
439,Taiwo Awoniyi
440,Takehiro Tomiyasu
441,Tariq Lamptey
442,Tawanda Chirewa
443,Teden Mengi
444,Thiago Silva
445,Thomas Partey
446,Thomas Kaminski
447,Thomas Strakosha
448,Tim Ream
449,Tim Iroegbunam
450,Timo Werner
451,Timothy Castagne
452,Tom Cairney
453,Tom Lockyer
454,Tom Davies
455,Tommy Doyle
456,Tomáš Souček
457,Tosin Adarabioyo
458,Toti Gomes
459,Trent Alexander-Arnold
460,Trevoh Chalobah
461,Tyler Adams
462,Tyrick Mitchell
463,Valentino Livramento
464,Valentín Barco
465,Victor Lindelöf
466,Vinicius Souza
467,Virgil van Dijk
468,Vitaliy Mykolenko
469,Vitaly Janelt
470,Vitinho
471,Vladimír Coufal
472,Wataru Endo
473,Wes Foderingham
474,Will Hughes
475,William Saliba
476,William Osula
477,Willian
478,Willy Boly
479,Willy Kambwala
480,Wilson Odobert
481,Yasser Larouci
482,Yehor Yarmoliuk
483,Yoane Wissa
484,Youri Tielemans
485,Youssef Chermiti
486,Yves Bissouma
487,Zeki Amdouni
488,Álex Moreno
489,Đorđe Petrović
490,Łukasz Fabiański
